feature,importance_shap
T0_S77_lag_4,0.014043916
T0_S29_lag_3,0.013924002
T2_S21_lag_22,0.013816874
T0_S52_lag_5,0.013781355
T0_S48_lag_17,0.013718254
T2_S40_lag_21,0.013661087
T2_S14_lag_21,0.013609356
T0_S21_lag_9,0.013570062
T4_S0_rolling_mean_24,0.013521383
T0_S19_rolling_mean_24,0.013420289
T4_S136_lag_12,0.013413179
T4_S34_lag_15,0.013319483
T2_S4_lag_23,0.013247804
T0_S39_lag_12,0.013212585
T0_S56_lag_4,0.013049166
T2_S45_lag_22,0.013021097
T2_S31_lag_7,0.013012401
T2_S60_lag_3,0.01301234
T0_S30_lag_12,0.012991164
T0_S8_lag_16,0.01295935
T2_S1_lag_21,0.012866569
T4_S38_lag_18,0.012865459
T2_S4_lag_24,0.0128585035
T0_S47_lag_5,0.012841975
T0_S74_lag_7,0.012765542
T0_S46_lag_6,0.012764139
T0_S39_lag_10,0.012762778
T2_S18_lag_21,0.012727732
T2_S7_lag_4,0.012684839
T2_S27_lag_2,0.012661916
T0_S46_lag_13,0.012643161
T0_S72_rolling_std_6,0.012630909
T2_S42_lag_5,0.012570144
T2_S43_rolling_std_6,0.012527999
T0_S9_lag_8,0.012449151
T0_S8_lag_15,0.012418492
T0_S10_lag_11,0.012316282
T0_S29_lag_9,0.012293982
T2_S21_lag_3,0.012264382
T2_S58_lag_4,0.012192678
T0_S14_lag_14,0.01214922
T2_S37_rolling_mean_6,0.012089113
T0_S42_lag_7,0.012067128
T2_S45_lag_21,0.012033777
T0_S26_lag_13,0.012029842
T2_S38_lag_3,0.012021655
T2_S47_lag_5,0.01201536
T2_S39_lag_19,0.011872975
T0_S45_lag_7,0.011823509
T1_S42_lag_2,0.011801832
T0_S2_lag_12,0.0117974505
T0_S39_lag_1,0.01174245
T0_S2_rolling_std_6,0.011737213
T2_S1_rolling_std_6,0.01172739
T0_S80_lag_10,0.011691031
T0_S41_lag_4,0.011621267
T2_S23_rolling_mean_6,0.011594734
T0_S61_lag_10,0.011528817
T0_S14_lag_6,0.0115207145
T0_S24_lag_17,0.011508746
T1_S62_rolling_std_6,0.011427343
T0_S5_lag_16,0.011347217
T2_S61_rolling_std_6,0.011289092
T0_S57_rolling_std_6,0.011208649
T0_S10_lag_17,0.011192844
T2_S8_lag_3,0.01118741
T2_S13_lag_24,0.011136535
T0_S15_lag_12,0.011103123
T0_S14_lag_11,0.011097702
T0_S45_lag_17,0.011056827
T2_S2_rolling_std_6,0.010946673
T0_S15_lag_14,0.010872128
T0_S64_lag_7,0.010789056
T2_S7_rolling_std_6,0.0107882945
T0_S23_lag_16,0.010781068
T0_S27_lag_13,0.010723626
T1_S32_lag_8,0.01066847
T0_S61_lag_19,0.010638148
T0_S45_lag_6,0.010630898
T2_S64_rolling_std_6,0.0106249545
T0_S42_lag_14,0.010549065
T2_S36_lag_23,0.010538062
T0_S11_lag_14,0.010537834
T0_S66_lag_12,0.010526425
T2_S60_rolling_std_6,0.010523963
T2_S40_lag_22,0.010477733
T0_S48_lag_6,0.010462964
T4_S2_lag_19,0.010442561
T0_S24_lag_18,0.0104403505
T0_S51_rolling_std_6,0.01033811
T2_S6_lag_17,0.010326622
T0_S32_lag_10,0.010299037
T0_S56_lag_16,0.010219319
T0_S46_lag_17,0.010217979
T4_S60_lag_23,0.010046197
T2_S0_lag_22,0.00999974
T0_S39_lag_8,0.009981814
T0_S75_lag_16,0.009955596
T0_S50_lag_16,0.009916655
T2_S63_rolling_std_6,0.009883662
T0_S20_lag_18,0.009860344
T0_S44_lag_4,0.009801736
T2_S38_lag_24,0.009774168
T0_S23_lag_6,0.009759185
T0_S56_rolling_mean_24,0.009732286
T0_S2_lag_9,0.009699072
T2_S19_lag_5,0.009649864
T0_S48_rolling_std_6,0.009635712
T0_S44_lag_5,0.009616559
T4_S16_lag_20,0.009601826
T2_S30_lag_23,0.009596684
T2_S23_rolling_mean_24,0.009571185
T2_S29_lag_5,0.009534991
T0_S37_lag_21,0.009514862
T0_S72_lag_15,0.009490887
T0_S15_lag_21,0.009454348
T4_S129_lag_21,0.009426602
T2_S48_lag_22,0.009419219
T0_S10_lag_10,0.009407798
T0_S59_lag_17,0.009404837
T2_S35_lag_7,0.009340474
T1_S10_lag_24,0.009313718
T2_S51_lag_6,0.009242712
T0_S3_lag_13,0.009123214
T0_S42_lag_5,0.009017824
T0_S1_lag_17,0.008951201
T0_S10_lag_6,0.008944629
T2_S40_rolling_std_6,0.008885272
T0_S1_lag_11,0.008872512
T2_S13_lag_2,0.008812482
T0_S68_lag_5,0.008808838
T2_S25_lag_16,0.008783675
T0_S8_lag_5,0.008774163
T0_S53_lag_15,0.008692088
T2_S21_lag_6,0.008682014
T0_S39_lag_6,0.008616521
T2_S63_rolling_mean_24,0.008612098
T0_S26_lag_15,0.008602766
T1_S42_rolling_std_6,0.008539815
T0_S31_rolling_std_6,0.008523105
T3_S44_rolling_mean_6,0.0084281815
T0_S81_lag_7,0.008407885
T0_S41_lag_10,0.008399912
T0_S3_lag_14,0.008389002
T2_S22_lag_23,0.008359298
T0_S16_lag_10,0.008344584
T0_S6_lag_16,0.008306312
T4_S103_lag_23,0.008296811
T2_S28_rolling_std_6,0.008254641
T0_S27_lag_9,0.008243914
T0_S51_lag_21,0.00821487
